iterations,fitness,time,fevals
2660,77.0,0.023994199,2671
2670,77.0,0.024031381,2681
2680,77.0,0.024120687,2691
2690,77.0,0.024196603,2701
2700,77.0,0.024323441,2711
2710,77.0,0.024390942,2721
2720,85.0,0.024448986,2731
2730,85.0,0.024524452,2741
2740,85.0,0.02456183,2751
2750,85.0,0.024598851,2761
2760,85.0,0.024635775,2771
2770,85.0,0.024700669,2781
2780,85.0,0.024752942,2791
2790,85.0,0.024790115,2801
2800,85.0,0.024826925,2811
2810,85.0,0.024890955,2821
2820,85.0,0.024927755,2831
2830,85.0,0.024966227,2841
2840,85.0,0.025002883,2851
2850,85.0,0.025059544,2861
2860,85.0,0.025097101,2871
2870,86.0,0.025164797,2881
2880,86.0,0.025203043,2891
2890,86.0,0.025240503,2901
2900,86.0,0.025289845,2911
2910,86.0,0.02532697,2921
2920,86.0,0.025365833,2931
2930,87.0,0.025402507,2941
2940,87.0,0.025458096,2951
2950,87.0,0.025512874,2961
2960,87.0,0.025551721,2971
2970,87.0,0.025588573,2981
2980,89.0,0.025661681,2991
2990,89.0,0.025698493,3001
3000,89.0,0.025735338,3011
3010,89.0,0.025772243,3021
3020,89.0,0.025826661,3031
3030,89.0,0.025926225,3041
3040,89.0,0.025967542,3051
3050,89.0,0.026005462,3061
3060,89.0,0.026043487,3071
3070,89.0,0.026096527,3081
3080,89.0,0.026133659,3091
3090,90.0,0.026169774,3101
3100,91.0,0.026206136,3111
3110,91.0,0.026278401,3121
3120,91.0,0.026315401,3131
3130,91.0,0.026370202,3141
3140,91.0,0.026412167,3151
3150,92.0,0.026448617,3161
3160,92.0,0.026485085,3171
3170,92.0,0.02652227,3181
3180,92.0,0.026561749,3191
3190,92.0,0.026633227,3201
3200,92.0,0.026670346,3211
3210,92.0,0.026707433,3221
3220,92.0,0.026745411,3231
3230,92.0,0.026782336,3241
3240,92.0,0.02683131,3251
3250,92.0,0.026868165,3261
3260,92.0,0.026906901,3271
3270,92.0,0.026943611,3281
3280,92.0,0.02700217,3291
3290,92.0,0.027056341,3301
3300,92.0,0.027094788,3311
3310,92.0,0.027131431,3321
3320,92.0,0.02718851,3331
3330,92.0,0.027284726,3341
3340,92.0,0.02732242,3351
3350,92.0,0.027359765,3361
3360,92.0,0.027424503,3371
3370,92.0,0.02747597,3381
3380,92.0,0.027514948,3391
3390,92.0,0.027564016,3401
3400,92.0,0.027636781,3411
3410,92.0,0.027707393,3421
3420,93.0,0.027771994,3431
3430,93.0,0.027810792,3441
3440,93.0,0.027893244,3451
3450,93.0,0.027930087,3461
3460,93.0,0.027967651,3471
3470,94.0,0.028014148,3481
3480,94.0,0.028080999,3491
3490,94.0,0.028139045,3501
3500,94.0,0.028203408,3511
3510,94.0,0.028268694,3521
3520,95.0,0.028442758,3531
3530,95.0,0.028517683,3541
3540,95.0,0.028555075,3551
3550,95.0,0.028624849,3561
3560,95.0,0.028661911,3571
3570,95.0,0.028698989,3581
3580,95.0,0.028750918,3591
3590,95.0,0.028804163,3601
3600,95.0,0.028855764,3611
3610,95.0,0.028892775,3621
3620,95.0,0.028942408,3631
3630,95.0,0.028998526,3641
3640,95.0,0.02903569,3651
3650,95.0,0.02907287,3661
3660,95.0,0.029125487,3671
3670,95.0,0.029162485,3681
3680,95.0,0.029199339,3691
